user_name,workflow_name,timestamp,duration,correlation_id,team,title,location,expected_duration,is_sla_met
Bob,Data Processing,2025-11-08 16:19:00,100.48,corr-0001-7539,Data Science,ML Engineer,San Francisco,218.22,Yes
Bob,Report Generation,2025-12-01 23:46:00,138.68,corr-0002-1587,Data Science,ML Engineer,San Francisco,213.86,Yes
Diana,Data Validation,2025-11-08 20:05:00,241.57,corr-0003-2830,Data Science,Data Scientist,Remote,238.09,No
Eve,ETL Pipeline,2025-11-19 13:39:00,62.47,corr-0004-6247,Operations,DevOps Engineer,Tokyo,230.19,Yes
Diana,Data Processing,2025-11-10 01:42:00,88.91,corr-0005-1477,Data Science,Data Scientist,Remote,245.29,Yes
Charlie,Data Processing,2025-11-22 16:43:00,198.5,corr-0006-4858,Analytics,Senior Analyst,London,184.32,No
Alice,Report Generation,2025-11-17 20:53:00,147.31,corr-0007-6690,Engineering,Data Engineer,New York,177.32,Yes
Bob,Data Processing,2025-11-11 03:30:00,284.2,corr-0008-7919,Data Science,ML Engineer,San Francisco,174.17,No
Eve,Data Validation,2025-11-27 12:30:00,256.62,corr-0009-6922,Operations,DevOps Engineer,Tokyo,213.48,No
Charlie,ETL Pipeline,2025-11-07 05:49:00,279.57,corr-0010-6642,Analytics,Senior Analyst,London,225.18,No
Alice,Report Generation,2025-11-26 20:10:00,286.3,corr-0011-5187,Engineering,Data Engineer,New York,241.9,No
Alice,Report Generation,2025-11-29 07:42:00,55.81,corr-0012-7215,Engineering,Data Engineer,New York,204.25,Yes
Alice,Data Validation,2025-11-08 14:39:00,72.61,corr-0013-2051,Engineering,Data Engineer,New York,212.15,Yes
Diana,Data Processing,2025-11-12 11:32:00,204.81,corr-0014-7560,Data Science,Data Scientist,Remote,238.82,Yes
Eve,Model Training,2025-11-28 13:27:00,21.36,corr-0015-9666,Operations,DevOps Engineer,Tokyo,181.46,Yes
Eve,Data Validation,2025-12-01 18:31:00,16.42,corr-0016-1273,Operations,DevOps Engineer,Tokyo,185.52,Yes
Bob,Model Training,2025-11-02 22:45:00,245.97,corr-0017-2361,Data Science,ML Engineer,San Francisco,175.0,No
Charlie,Model Training,2025-11-01 14:30:00,47.24,corr-0018-5699,Analytics,Senior Analyst,London,158.15,Yes
Charlie,Model Training,2025-11-30 00:28:00,161.12,corr-0019-7978,Analytics,Senior Analyst,London,163.17,Yes
Eve,Data Validation,2025-11-13 03:35:00,276.71,corr-0020-1978,Operations,DevOps Engineer,Tokyo,194.0,No
Eve,ETL Pipeline,2025-11-26 12:36:00,69.74,corr-0021-8230,Operations,DevOps Engineer,Tokyo,238.69,Yes
Alice,Data Processing,2025-11-26 18:28:00,185.0,corr-0022-6486,Engineering,Data Engineer,New York,162.85,No
Charlie,Data Validation,2025-11-10 00:39:00,289.08,corr-0023-3336,Analytics,Senior Analyst,London,196.73,No
Diana,Data Processing,2025-11-11 22:24:00,19.17,corr-0024-3639,Data Science,Data Scientist,Remote,225.78,Yes
Diana,Data Processing,2025-11-02 05:29:00,250.43,corr-0025-7661,Data Science,Data Scientist,Remote,236.8,No
Bob,Model Training,2025-11-23 08:18:00,226.98,corr-0026-4755,Data Science,ML Engineer,San Francisco,179.66,No
Charlie,Data Processing,2025-11-24 04:17:00,276.06,corr-0027-1009,Analytics,Senior Analyst,London,157.03,No
Eve,Model Training,2025-11-25 09:51:00,198.51,corr-0028-8912,Operations,DevOps Engineer,Tokyo,244.57,Yes
Alice,Data Processing,2025-11-08 07:28:00,84.4,corr-0029-5343,Engineering,Data Engineer,New York,172.24,Yes
Bob,ETL Pipeline,2025-11-25 05:10:00,263.78,corr-0030-5133,Data Science,ML Engineer,San Francisco,166.35,No
Alice,ETL Pipeline,2025-11-20 17:53:00,82.19,corr-0031-6033,Engineering,Data Engineer,New York,249.56,Yes
Diana,Model Training,2025-11-19 19:25:00,206.24,corr-0032-3045,Data Science,Data Scientist,Remote,218.5,Yes
Eve,Model Training,2025-11-11 06:02:00,170.05,corr-0033-7011,Operations,DevOps Engineer,Tokyo,194.47,Yes
Diana,Model Training,2025-11-20 14:11:00,290.03,corr-0034-5931,Data Science,Data Scientist,Remote,193.58,No
Diana,Data Validation,2025-11-19 12:31:00,154.19,corr-0035-4509,Data Science,Data Scientist,Remote,158.7,Yes
Eve,Data Processing,2025-11-18 07:50:00,259.05,corr-0036-9369,Operations,DevOps Engineer,Tokyo,204.46,No
Alice,Model Training,2025-11-19 02:39:00,32.06,corr-0037-2361,Engineering,Data Engineer,New York,213.75,Yes
Diana,ETL Pipeline,2025-11-19 14:00:00,49.28,corr-0038-7588,Data Science,Data Scientist,Remote,200.66,Yes
Charlie,Model Training,2025-11-26 03:58:00,151.58,corr-0039-9057,Analytics,Senior Analyst,London,166.03,Yes
Eve,Model Training,2025-11-29 12:14:00,49.89,corr-0040-8641,Operations,DevOps Engineer,Tokyo,163.53,Yes
Alice,Data Processing,2025-11-21 11:26:00,26.23,corr-0041-5685,Engineering,Data Engineer,New York,155.06,Yes
Alice,Data Processing,2025-11-05 03:11:00,255.83,corr-0042-9497,Engineering,Data Engineer,New York,200.03,No
Charlie,Report Generation,2025-11-01 03:54:00,169.86,corr-0043-6577,Analytics,Senior Analyst,London,229.21,Yes
Charlie,Data Validation,2025-11-11 11:48:00,291.01,corr-0044-4270,Analytics,Senior Analyst,London,195.04,No
Eve,Data Validation,2025-11-23 08:36:00,51.52,corr-0045-1964,Operations,DevOps Engineer,Tokyo,191.31,Yes
Alice,Data Processing,2025-11-27 08:03:00,114.93,corr-0046-9652,Engineering,Data Engineer,New York,169.83,Yes
