user_name,workflow_name,timestamp,duration,correlation_id,team,title,location,expected_duration,is_sla_met
Frank,Security Scan,2025-12-01 12:36:00,270.68,corr-0001-9487,Platform,Platform Engineer,Seattle,259.76,No
Frank,API Testing,2025-12-01 06:09:00,312.82,corr-0002-6463,Platform,Platform Engineer,Seattle,277.37,No
Jack,Database Migration,2025-12-06 17:16:00,275.43,corr-0003-8399,Platform,Software Engineer,Singapore,277.17,Yes
Jack,Security Scan,2025-12-04 04:42:00,299.24,corr-0004-5745,Platform,Software Engineer,Singapore,299.53,Yes
Frank,Deployment,2025-12-01 15:08:00,254.74,corr-0005-4884,Platform,Platform Engineer,Seattle,256.25,Yes
Frank,Security Scan,2025-12-07 13:59:00,348.38,corr-0006-7390,Platform,Platform Engineer,Seattle,226.54,No
Grace,Code Review,2025-12-01 20:13:00,389.85,corr-0007-5346,Security,Security Engineer,Berlin,208.5,No
Jack,Deployment,2025-12-02 01:41:00,209.62,corr-0008-6706,Platform,Software Engineer,Singapore,291.92,Yes
Grace,Deployment,2025-12-08 04:54:00,219.44,corr-0009-3567,Security,Security Engineer,Berlin,270.04,Yes
Isabel,Deployment,2025-12-07 02:21:00,290.69,corr-0010-9643,QA,QA Lead,Remote,269.58,No
Grace,Code Review,2025-12-01 18:21:00,322.98,corr-0011-7258,Security,Security Engineer,Berlin,297.2,No
Jack,Code Review,2025-12-02 16:16:00,318.0,corr-0012-8683,Platform,Software Engineer,Singapore,218.13,No
Grace,Database Migration,2025-12-03 09:29:00,413.85,corr-0013-4077,Security,Security Engineer,Berlin,237.0,No
Henry,Security Scan,2025-12-02 15:57:00,281.77,corr-0014-9378,DevOps,DevOps Specialist,Austin,292.49,Yes
Grace,Security Scan,2025-12-04 06:06:00,211.21,corr-0015-1751,Security,Security Engineer,Berlin,258.92,Yes
Henry,API Testing,2025-12-01 13:34:00,400.42,corr-0016-7032,DevOps,DevOps Specialist,Austin,288.1,No
Isabel,Security Scan,2025-12-08 23:23:00,190.92,corr-0017-7006,QA,QA Lead,Remote,212.27,Yes
Henry,Security Scan,2025-12-03 23:15:00,185.65,corr-0018-8968,DevOps,DevOps Specialist,Austin,287.97,Yes
Henry,Code Review,2025-12-03 01:46:00,236.57,corr-0019-3673,DevOps,DevOps Specialist,Austin,281.37,Yes
Isabel,Security Scan,2025-12-04 00:40:00,114.59,corr-0020-3585,QA,QA Lead,Remote,279.18,Yes
Jack,Code Review,2025-12-08 17:41:00,421.86,corr-0021-6355,Platform,Software Engineer,Singapore,209.52,No
Henry,API Testing,2025-12-03 14:17:00,433.32,corr-0022-7615,DevOps,DevOps Specialist,Austin,265.18,No
Isabel,Security Scan,2025-12-03 08:33:00,173.55,corr-0023-9241,QA,QA Lead,Remote,253.76,Yes
Frank,Code Review,2025-12-02 16:18:00,271.42,corr-0024-9572,Platform,Platform Engineer,Seattle,277.27,Yes
Isabel,Security Scan,2025-12-04 18:49:00,88.65,corr-0025-7710,QA,QA Lead,Remote,257.18,Yes
Isabel,Deployment,2025-12-03 12:31:00,318.24,corr-0026-9013,QA,QA Lead,Remote,206.57,No
Frank,Security Scan,2025-12-05 11:54:00,366.41,corr-0027-1040,Platform,Platform Engineer,Seattle,208.63,No
Grace,Code Review,2025-12-04 16:12:00,55.18,corr-0028-1032,Security,Security Engineer,Berlin,288.32,Yes
Henry,API Testing,2025-12-08 23:21:00,307.03,corr-0029-4131,DevOps,DevOps Specialist,Austin,239.77,No
Henry,Database Migration,2025-12-07 02:40:00,336.53,corr-0030-2791,DevOps,DevOps Specialist,Austin,236.45,No
Isabel,Security Scan,2025-12-07 11:00:00,303.0,corr-0031-3712,QA,QA Lead,Remote,201.6,No
Grace,Security Scan,2025-12-06 03:26:00,319.5,corr-0032-6273,Security,Security Engineer,Berlin,239.15,No
Jack,Database Migration,2025-12-05 03:25:00,396.14,corr-0033-1614,Platform,Software Engineer,Singapore,285.55,No
Frank,Database Migration,2025-12-08 04:11:00,401.27,corr-0034-4551,Platform,Platform Engineer,Seattle,213.7,No
Henry,API Testing,2025-12-01 15:35:00,98.38,corr-0035-3304,DevOps,DevOps Specialist,Austin,213.74,Yes
Grace,API Testing,2025-12-04 04:12:00,388.37,corr-0036-2629,Security,Security Engineer,Berlin,258.7,No
Isabel,API Testing,2025-12-05 07:34:00,443.07,corr-0037-5614,QA,QA Lead,Remote,283.12,No
Grace,Database Migration,2025-12-02 10:43:00,214.24,corr-0038-9910,Security,Security Engineer,Berlin,279.77,Yes
Isabel,Security Scan,2025-12-03 11:19:00,331.8,corr-0039-3226,QA,QA Lead,Remote,209.52,No
Frank,Code Review,2025-12-01 15:56:00,373.84,corr-0040-7905,Platform,Platform Engineer,Seattle,267.24,No
Isabel,Deployment,2025-12-04 11:42:00,28.42,corr-0041-7461,QA,QA Lead,Remote,251.65,Yes
Frank,Security Scan,2025-12-02 11:14:00,76.5,corr-0042-4085,Platform,Platform Engineer,Seattle,287.09,Yes
Jack,API Testing,2025-12-01 15:30:00,218.93,corr-0043-1449,Platform,Software Engineer,Singapore,274.68,Yes
Grace,API Testing,2025-12-05 01:27:00,427.9,corr-0044-9280,Security,Security Engineer,Berlin,271.01,No
Frank,Deployment,2025-12-04 13:41:00,335.76,corr-0045-4862,Platform,Platform Engineer,Seattle,209.88,No
Isabel,Deployment,2025-12-06 13:41:00,392.68,corr-0046-4286,QA,QA Lead,Remote,275.31,No
Frank,Security Scan,2025-12-07 07:39:00,304.2,corr-0047-2118,Platform,Platform Engineer,Seattle,226.0,No
Henry,Security Scan,2025-12-05 22:49:00,295.91,corr-0048-6817,DevOps,DevOps Specialist,Austin,292.32,No
Henry,Code Review,2025-12-05 10:00:00,430.47,corr-0049-7718,DevOps,DevOps Specialist,Austin,231.28,No
Isabel,Code Review,2025-12-07 15:04:00,34.36,corr-0050-3055,QA,QA Lead,Remote,274.18,Yes
Frank,Code Review,2025-12-03 11:53:00,76.17,corr-0051-3467,Platform,Platform Engineer,Seattle,281.94,Yes
Jack,API Testing,2025-12-08 22:40:00,211.21,corr-0052-3190,Platform,Software Engineer,Singapore,277.06,Yes
Grace,API Testing,2025-12-07 15:20:00,96.29,corr-0053-9967,Security,Security Engineer,Berlin,248.29,Yes
Frank,API Testing,2025-12-01 18:13:00,186.6,corr-0054-8674,Platform,Platform Engineer,Seattle,244.74,Yes
Frank,API Testing,2025-12-08 21:45:00,73.69,corr-0055-5596,Platform,Platform Engineer,Seattle,246.17,Yes
Henry,API Testing,2025-12-08 01:36:00,44.86,corr-0056-9276,DevOps,DevOps Specialist,Austin,242.52,Yes
Jack,Deployment,2025-12-04 07:58:00,201.35,corr-0057-3524,Platform,Software Engineer,Singapore,264.33,Yes
Grace,API Testing,2025-12-04 05:45:00,162.95,corr-0058-5127,Security,Security Engineer,Berlin,299.31,Yes
Frank,Deployment,2025-12-01 01:24:00,216.93,corr-0059-4431,Platform,Platform Engineer,Seattle,238.0,Yes
Grace,Database Migration,2025-12-06 05:57:00,319.93,corr-0060-1962,Security,Security Engineer,Berlin,243.37,No
Grace,Deployment,2025-12-08 12:18:00,19.06,corr-0061-9413,Security,Security Engineer,Berlin,293.91,Yes
Frank,Database Migration,2025-12-04 18:56:00,294.74,corr-0062-9844,Platform,Platform Engineer,Seattle,256.95,No
Isabel,Code Review,2025-12-01 03:42:00,111.87,corr-0063-4339,QA,QA Lead,Remote,204.43,Yes
Isabel,Deployment,2025-12-07 18:04:00,270.12,corr-0064-7695,QA,QA Lead,Remote,211.48,No
Jack,Database Migration,2025-12-01 20:14:00,52.89,corr-0065-9218,Platform,Software Engineer,Singapore,242.83,Yes
